has,prefers,count
AAAS,AAHVS,1
AAAS,Cultural Anthropology,1
AAAS,Dance,3
AAAS,DHRC@FHI@FHI,1
AAAS,English,1
AAAS,Franklin Humanities Institute,1
AAAS,ICS,1
AAAS,Literature,1
AAAS,Religious Studies,1
AAAS,Romance Studies,1
AAAS,Thompson Writing Program,1
AAHVS,Classical Studies,1
AAHVS,Computer Science,1
AAHVS,Cultural Anthropology,1
AAHVS,Dance,1
AAHVS,History,1
AAHVS,ISS,1
AAHVS,Franklin Humanities Institute,2
AAHVS,Literature,1
AAHVS,Music,1
AAHVS,Romance Studies,2
AAHVS,School of Law,1
AAHVS,Theater Studies,1
AMI,AMES,1
AMI,Classical Studies,1
AMI,English,1
AMI,Franklin Humanities Institute,1
AMI,Fuqua/Coach K Center,1
AMI,ISS,1
AMI,Literature,1
AMI,Music,1
AMI,Nicholas School,1
AMI,Romance Studies,1
AMI,Sanford School,1
AMI,Thompson Writing Program,1
AMI,Womens Studies,1
AMES,Classical Studies,1
AMES,CDS,1
AMES,English,1
AMES,Franklin Humanities Institute,1
AMES,Fuqua/Coach K Center,1
AMES,ISS,1
AMES,Literature,2
AMES,Music,1
AMES,Nicholas School,1
AMES,Romance Studies,1
AMES,Sanford School,1
AMES,Thompson Writing Program,1
AMES,Womens Studies,2
Classical Studies,English,1
Classical Studies,Franklin Humanities Institute,1
Classical Studies,Fuqua/Coach K Center,1
Classical Studies,History,1
Classical Studies,ISS,1
Classical Studies,Nicholas School,1
Classical Studies,Cultural Anthropology,1
Classical Studies,Germanic Languages and Literature,1
Classical Studies,Religious Studies,1
Classical Studies,Romance Studies,1
Classical Studies,Sanford School,1
Classical Studies,Thompson Writing Program,1
Classical Studies,Womens Studies,1
Cultural Anthropology,DHRC@FHI@FHI,1
Cultural Anthropology,Franklin Humanities Institute,2
Cultural Anthropology,History,2
Cultural Anthropology,Nicholas School,1
Cultural Anthropology,Religious Studies,1
Cultural Anthropology,Romance Studies,2
Cultural Anthropology,Thompson Writing Program,1
Cultural Anthropology,Germanic Languages and Literature,1
English,Franklin Humanities Institute,1
English,Fuqua/Coach K Center,1
English,ISS,1
English,Nicholas School,1
English,Romance Studies,1
English,Sanford School,1
English,Thompson Writing Program,1
English,Womens Studies,1
Dance,Music,1
Dance,Theater Studies,2
CDS,Romance Studies,1
CDS,Thompson Writing Program,1
DHRC@FHI@FHI,ICS,1
DHRC@FHI@FHI,Literature,1
DHRC@FHI@FHI,Franklin Humanities Institute,1
DHRC@FHI@FHI,Religious Studies,1
DHRC@FHI@FHI,Thompson Writing Program,1
Germanic Languages and Literature,History,1
Germanic Languages and Literature,Music,1
Germanic Languages and Literature,Religious Studies,1
Franklin Humanities Institute,Fuqua/Coach K Center,1
Franklin Humanities Institute,History,2
Franklin Humanities Institute,ISS,1
Franklin Humanities Institute,Nicholas School,2
Franklin Humanities Institute,PhD Lab,1
Franklin Humanities Institute,School of Law,1
Franklin Humanities Institute,Romance Studies,3
Franklin Humanities Institute,Sanford School,1
Franklin Humanities Institute,Thompson Writing Program,1
Franklin Humanities Institute,Womens Studies,1
Fuqua/Coach K Center,ISS,1
Fuqua/Coach K Center,Nicholas School,1
Fuqua/Coach K Center,Romance Studies,1
Fuqua/Coach K Center,Sanford School,1
Fuqua/Coach K Center,Thompson Writing Program,1
Fuqua/Coach K Center,Womens Studies,1
Computer Science,History,1
Computer Science,ISS,1
Computer Science,Literature,1
History,Literature,1
History,ISS,1
History,Nicholas School,1
History,Romance Studies,4
History,Nicholas School,1
History,Religious Studies,1
History,School of Law,1
History,Thompson Writing Program,1
History,Womens Studies,1
ISS,Literature,1
ISS,Nicholas School,1
ISS,Romance Studies,2
ISS,Sanford School,1
ISS,School of Law,1
ISS,Thompson Writing Program,1
ISS,Womens Studies,1
ICS,Literature,1
ICS,Religious Studies,1
ICS,Thompson Writing Program,1
Literature,Music,1
Literature,Religious Studies,1
Literature,Thompson Writing Program,1
Literature,Womens Studies,1
Music,Theater Studies,1
Nicholas School,Romance Studies,2
Nicholas School,Sanford School,1
Nicholas School,Thompson Writing Program,1
Nicholas School,Womens Studies,1
Philosophy,Religious Studies,1
Religious Studies,Thompson Writing Program,1
Romance Studies,Sanford School,1
Romance Studies,School of Law,1
Romance Studies,Thompson Writing Program,2
Romance Studies,Womens Studies,2
Sanford School,Thompson Writing Program,1
Sanford School,Womens Studies,1
Thompson Writing Program,Womens Studies,1
AAHVS,AAAS,1
Cultural Anthropology,AAAS,1
Dance,AAAS,3
DHRC@FHI@FHI,AAAS,1
English,AAAS,1
Franklin Humanities Institute,AAAS,1
ICS,AAAS,1
Literature,AAAS,1
Religious Studies,AAAS,1
Romance Studies,AAAS,1
Thompson Writing Program,AAAS,1
Classical Studies,AAHVS,1
Computer Science,AAHVS,1
Cultural Anthropology,AAHVS,1
Dance,AAHVS,1
History,AAHVS,1
ISS,AAHVS,1
Franklin Humanities Institute,AAHVS,2
Literature,AAHVS,1
Music,AAHVS,1
Romance Studies,AAHVS,2
School of Law,AAHVS,1
Theater Studies,AAHVS,1
AMES,AMI,1
Classical Studies,AMI,1
English,AMI,1
Franklin Humanities Institute,AMI,1
Fuqua/Coach K Center,AMI,1
ISS,AMI,1
Literature,AMI,1
Music,AMI,1
Nicholas School,AMI,1
Romance Studies,AMI,1
Sanford School,AMI,1
Thompson Writing Program,AMI,1
Womens Studies,AMI,1
Classical Studies,AMES,1
CDS,AMES,1
English,AMES,1
Franklin Humanities Institute,AMES,1
Fuqua/Coach K Center,AMES,1
ISS,AMES,1
Literature,AMES,2
Music,AMES,1
Nicholas School,AMES,1
Romance Studies,AMES,1
Sanford School,AMES,1
Thompson Writing Program,AMES,1
Womens Studies,AMES,2
English,Classical Studies,1
Franklin Humanities Institute,Classical Studies,1
Fuqua/Coach K Center,Classical Studies,1
History,Classical Studies,1
ISS,Classical Studies,1
Nicholas School,Classical Studies,1
Cultural Anthropology,Classical Studies,1
Germanic Languages and Literature,Classical Studies,1
Religious Studies,Classical Studies,1
Romance Studies,Classical Studies,1
Sanford School,Classical Studies,1
Thompson Writing Program,Classical Studies,1
Womens Studies,Classical Studies,1
DHRC@FHI@FHI,Cultural Anthropology,1
Franklin Humanities Institute,Cultural Anthropology,2
History,Cultural Anthropology,2
Nicholas School,Cultural Anthropology,1
Religious Studies,Cultural Anthropology,1
Romance Studies,Cultural Anthropology,2
Thompson Writing Program,Cultural Anthropology,1
Germanic Languages and Literature,Cultural Anthropology,1
Franklin Humanities Institute,English,1
Fuqua/Coach K Center,English,1
ISS,English,1
Nicholas School,English,1
Romance Studies,English,1
Sanford School,English,1
Thompson Writing Program,English,1
Womens Studies,English,1
Music,Dance,1
Theater Studies,Dance,2
Romance Studies,CDS,1
Thompson Writing Program,CDS,1
ICS,DHRC@FHI@FHI,1
Literature,DHRC@FHI@FHI,1
Franklin Humanities Institute,DHRC@FHI@FHI,1
Religious Studies,DHRC@FHI@FHI,1
Thompson Writing Program,DHRC@FHI@FHI,1
History,Computer Science,1
ISS,Computer Science,1
Literature,Computer Science,1
Fuqua/Coach K Center,Franklin Humanities Institute,1
History,Franklin Humanities Institute,2
ISS,Franklin Humanities Institute,1
Nicholas School,Franklin Humanities Institute,2
PhD Lab,Franklin Humanities Institute,1
School of Law,Franklin Humanities Institute,1
Romance Studies,Franklin Humanities Institute,3
Sanford School,Franklin Humanities Institute,1
Thompson Writing Program,Franklin Humanities Institute,1
Womens Studies,Franklin Humanities Institute,1
ISS,Fuqua/Coach K Center,1
Nicholas School,Fuqua/Coach K Center,1
Romance Studies,Fuqua/Coach K Center,1
Sanford School,Fuqua/Coach K Center,1
Thompson Writing Program,Fuqua/Coach K Center,1
Womens Studies,Fuqua/Coach K Center,1
History,Germanic Languages and Literature,1
Music,Germanic Languages and Literature,1
Religious Studies,Germanic Languages and Literature,1
Literature,History,1
ISS,History,1
Nicholas School,History,1
Romance Studies,History,4
Nicholas School,History,1
Religious Studies,History,1
School of Law,History,1
Thompson Writing Program,History,1
Womens Studies,History,1
Literature,ISS,1
Nicholas School,ISS,1
Romance Studies,ISS,2
Sanford School,ISS,1
School of Law,ISS,1
Thompson Writing Program,ISS,1
Womens Studies,ISS,1
Literature,ICS,1
Religious Studies,ICS,1
Thompson Writing Program,ICS,1
Music,Literature,1
Religious Studies,Literature,1
Thompson Writing Program,Literature,1
Womens Studies,Literature,1
Theater Studies,Music,1
Romance Studies,Nicholas School,2
Sanford School,Nicholas School,1
Thompson Writing Program,Nicholas School,1
Womens Studies,Nicholas School,1
Religious Studies,Philosophy,1
Thompson Writing Program,Religious Studies,1
Sanford School,Romance Studies,1
School of Law,Romance Studies,1
Thompson Writing Program,Romance Studies,2
Womens Studies,Romance Studies,2
Thompson Writing Program,Sanford School,1
Womens Studies,Sanford School,1
Womens Studies,Thompson Writing Program,1
